gid,land_type,reason
320,,land_type_none
384,,land_type_none
385,,land_type_none
386,,land_type_none
387,,land_type_none
389,,land_type_none
390,,land_type_none
449,,land_type_none
450,,land_type_none
451,,land_type_none
452,,land_type_none
453,,land_type_none
454,,land_type_none
455,,land_type_none
509,,land_type_none
560,,land_type_none
561,,land_type_none
562,,land_type_none
563,,land_type_none
564,,land_type_none
565,,land_type_none
566,,land_type_none
595,,land_type_none
596,,land_type_none
597,,land_type_none
598,,land_type_none
599,,land_type_none
600,,land_type_none
601,,land_type_none
602,,land_type_none
603,,land_type_none
919,,land_type_none
920,,land_type_none
921,,land_type_none
2053,,land_type_none
2054,,land_type_none
2055,,land_type_none
2143,,land_type_none
2207,,land_type_none
2208,,land_type_none
2209,,land_type_none
2368,,land_type_none
2369,,land_type_none
2370,,land_type_none
2386,,land_type_none
2387,,land_type_none
2388,,land_type_none
2389,,land_type_none
2390,,land_type_none
2391,,land_type_none
2392,,land_type_none
2393,,land_type_none
2436,,land_type_none
2437,,land_type_none
2438,,land_type_none
2439,,land_type_none
2440,,land_type_none
2441,,land_type_none
2442,,land_type_none
2443,,land_type_none
2444,,land_type_none
2445,,land_type_none
2446,,land_type_none
2447,,land_type_none
2448,,land_type_none
2449,,land_type_none
2450,,land_type_none
2451,,land_type_none
2452,,land_type_none
2453,,land_type_none
2454,,land_type_none
2455,,land_type_none
2456,,land_type_none
2457,,land_type_none
2458,,land_type_none
2459,,land_type_none
2460,,land_type_none
2461,,land_type_none
2462,,land_type_none
2463,,land_type_none
2464,,land_type_none
2465,,land_type_none
2466,,land_type_none
2467,,land_type_none
2468,,land_type_none
2469,,land_type_none
2470,,land_type_none
2471,,land_type_none
2472,,land_type_none
2473,,land_type_none
2474,,land_type_none
2475,,land_type_none
2476,,land_type_none
2477,,land_type_none
2478,,land_type_none
2479,,land_type_none
2480,,land_type_none
2481,,land_type_none
2482,,land_type_none
2483,,land_type_none
2484,,land_type_none
2485,,land_type_none
2486,,land_type_none
2487,,land_type_none
2488,,land_type_none
2489,,land_type_none
2490,,land_type_none
2491,,land_type_none
2495,,land_type_none
2498,,land_type_none
2499,,land_type_none
2500,,land_type_none
2501,,land_type_none
2502,,land_type_none
2839,,land_type_none
2840,,land_type_none
2841,,land_type_none
2842,,land_type_none
2843,,land_type_none
2844,,land_type_none
2932,,land_type_none
2933,,land_type_none
2934,,land_type_none
2935,,land_type_none
3256,,land_type_none
3258,,land_type_none
3312,,land_type_none
3525,,land_type_none
3541,,land_type_none
3542,,land_type_none
3544,,land_type_none
3545,,land_type_none
3546,,land_type_none
3570,,land_type_none
3718,,land_type_none
3793,,land_type_none
3794,,land_type_none
3795,,land_type_none
3796,,land_type_none
3797,,land_type_none
3798,,land_type_none
3799,,land_type_none
3800,,land_type_none
3801,,land_type_none
3802,,land_type_none
3803,,land_type_none
3828,,land_type_none
3829,,land_type_none
